lng,lat,time,flow,dm
116.458,39.949,2017-06-14 10:00:00,0,8
116.458,39.949,2017-06-14 11:00:00,1,8
116.458,39.949,2017-06-14 12:00:00,0,9
116.458,39.949,2017-06-14 13:00:00,3,10
116.458,39.949,2017-06-14 14:00:00,0,6
116.458,39.949,2017-06-14 15:00:00,3,8
116.458,39.949,2017-06-14 16:00:00,1,7
116.458,39.949,2017-06-14 17:00:00,2,9
116.458,39.949,2017-06-14 18:00:00,8,12
116.458,39.949,2017-06-14 19:00:00,1,9
116.458,39.949,2017-06-14 20:00:00,3,6
116.458,39.949,2017-06-14 21:00:00,3,7
116.458,39.949,2017-06-14 22:00:00,2,8
116.458,39.949,2017-06-14 23:00:00,0,6
116.458,39.949,2017-06-15 00:00:00,0,6
116.458,39.949,2017-06-15 01:00:00,1,6
116.458,39.949,2017-06-15 02:00:00,0,6
116.458,39.949,2017-06-15 03:00:00,0,6
116.458,39.949,2017-06-15 04:00:00,0,6
116.458,39.949,2017-06-15 05:00:00,0,6
116.458,39.949,2017-06-15 06:00:00,1,7
116.458,39.949,2017-06-15 07:00:00,1,8
116.458,39.949,2017-06-15 08:00:00,4,12
116.458,39.949,2017-06-15 09:00:00,7,4
116.458,39.949,2017-06-15 10:00:00,1,3
116.458,39.949,2017-06-15 11:00:00,0,0
116.458,39.949,2017-06-15 12:00:00,5,5
116.458,39.949,2017-06-15 13:00:00,3,3
116.458,39.949,2017-06-15 14:00:00,1,1
116.458,39.949,2017-06-15 15:00:00,3,3
116.458,39.949,2017-06-15 16:00:00,2,1
116.458,39.949,2017-06-15 17:00:00,1,6
116.458,39.949,2017-06-15 18:00:00,10,16
116.458,39.949,2017-06-15 19:00:00,1,15
116.458,39.949,2017-06-15 20:00:00,3,5
116.458,39.949,2017-06-15 21:00:00,5,6
116.458,39.949,2017-06-15 22:00:00,0,3
116.458,39.949,2017-06-15 23:00:00,2,1
116.458,39.949,2017-06-16 00:00:00,1,1
116.458,39.949,2017-06-16 01:00:00,1,0
116.458,39.949,2017-06-16 02:00:00,1,0
116.458,39.949,2017-06-16 03:00:00,0,0
116.458,39.949,2017-06-16 04:00:00,0,0
116.458,39.949,2017-06-16 05:00:00,0,2
116.458,39.949,2017-06-16 06:00:00,3,2
116.458,39.949,2017-06-16 07:00:00,4,3
116.458,39.949,2017-06-16 08:00:00,3,7
116.458,39.949,2017-06-16 09:00:00,8,9
116.458,39.949,2017-06-16 10:00:00,0,1
116.458,39.949,2017-06-16 11:00:00,3,3
116.458,39.949,2017-06-16 12:00:00,4,6
116.458,39.949,2017-06-16 13:00:00,6,4
116.458,39.949,2017-06-16 14:00:00,4,2
116.458,39.949,2017-06-16 15:00:00,4,2
116.458,39.949,2017-06-16 16:00:00,4,5
116.458,39.949,2017-06-16 17:00:00,1,1
116.458,39.949,2017-06-16 18:00:00,9,11
116.458,39.949,2017-06-16 19:00:00,6,5
116.458,39.949,2017-06-16 20:00:00,4,3
116.458,39.949,2017-06-16 21:00:00,4,1
116.458,39.949,2017-06-16 22:00:00,2,3
116.458,39.949,2017-06-16 23:00:00,2,2
116.458,39.949,2017-06-17 00:00:00,2,2
116.458,39.949,2017-06-17 01:00:00,0,2
116.458,39.949,2017-06-17 02:00:00,0,0
116.458,39.949,2017-06-17 03:00:00,0,0
116.458,39.949,2017-06-17 04:00:00,0,0
116.458,39.949,2017-06-17 05:00:00,1,0
116.458,39.949,2017-06-17 06:00:00,3,2
116.458,39.949,2017-06-17 07:00:00,4,3
116.458,39.949,2017-06-17 08:00:00,1,2
116.458,39.949,2017-06-17 09:00:00,4,10
116.458,39.949,2017-06-17 10:00:00,1,6
116.458,39.949,2017-06-17 11:00:00,4,3
116.458,39.949,2017-06-17 12:00:00,1,1
116.458,39.949,2017-06-17 13:00:00,0,1
116.458,39.949,2017-06-17 14:00:00,1,3
